Player,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Year,Team,Affiliation,RoundNumber,RoundPick,OverallPick
Michael Ajayi,SF,11.77,3.17,3.21,27.0,34.5,2024,,,,,
Melvin Ajinca,SF,11.78,3.00,3.38,26.5,31.0,2024,New York Knicks,Saint-Quentin BB (France),2,21,51
Trey Alexander,SG,11.37,2.92,3.21,26.5,32.0,2024,,,,,
Izan Almansa,C,10.94,2.96,3.11,28.0,35.0,2024,,,,,
Reece Beekman,PG,10.86,3.08,2.94,30.0,36.5,2024,,,,,
Adem Bona,C,11.01,3.01,3.15,35.0,40.0,2024,Philadelphia 76ers,California-Los Angeles,2,11,41
Trevon Brazile,PF,11.15,3.01,3.09,33.0,41.0,2024,,,,,
Jalen Bridges,SF,11.14,3.00,3.16,25.0,32.0,2024,,,,,
Matas Buzelis,SF,10.73,2.90,3.09,31.0,38.0,2024,Chicago Bulls,Ignite (G League),1,11,11
Carlton Carrington,PG,11.28,2.99,3.16,28.5,36.5,2024,,,,,
Devin Carter,SG,10.63,2.90,2.87,35.0,42.0,2024,Sacramento Kings,Providence,1,13,13
Stephon Castle,SG,10.93,2.91,3.19,28.5,37.0,2024,San Antonio Spurs,Connecticut,1,4,4
Ulrich Chomche,C,11.74,2.84,3.10,29.0,35.5,2024,Memphis Grizzlies,APR BBC (Rwanda),2,27,57
Cam Christie,SG,11.07,2.95,3.07,32.5,35.5,2024,LA Clippers,Minnesota,2,16,46
Nique Clifford,SF,10.95,3.10,3.08,30.0,37.0,2024,,,,,
Donovan Clingan,C,12.06,3.38,3.46,25.5,29.0,2024,Portland Trail Blazers,Connecticut,1,7,7
Isaiah Collier,PG,10.77,2.90,3.04,30.0,34.0,2024,Utah Jazz,Southern California,1,29,29
Tristan Da Silva,PF,10.81,2.82,3.09,28.5,35.5,2024,,,,,
Pacome Dadiet,SF,11.84,2.94,3.21,29.0,36.0,2024,,,,,
N'Faly Dante,C,11.55,3.04,3.23,27.0,33.0,2024,,,,,
Robert Dillingham,PG,-,-,-,-,-,2024,,,,,
Nikola Djurisic,SF,10.63,2.92,3.12,27.5,34.5,2024,Miami Heat,KK Mega Leks (Serbia),2,13,43
Ryan Dunn,PF,10.99,2.88,3.12,32.0,38.5,2024,Denver Nuggets,Virginia,1,28,28
Zach Edey,C,11.19,3.01,3.42,26.0,31.5,2024,Memphis Grizzlies,Purdue,1,9,9
Justin Edwards,SF,12.07,3.22,3.18,28.0,32.5,2024,,,,,
Jesse Edwards,C,11.24,3.23,3.33,30.5,35.5,2024,,,,,
Boogie Ellis,PG-SG,11.98,3.33,3.19,31.5,39.5,2024,,,,,
Kyle Filipowski,PF,11.43,2.93,3.19,27.0,32.5,2024,Utah Jazz,Duke,2,2,32
Trentyn Flowers,SF,11.01,3.00,3.13,34.5,42.0,2024,,,,,
Enrique Freeman,PF,10.99,3.04,3.26,30.5,35.0,2024,Indiana Pacers,Akron,2,20,50
Johnny Furphy,SF,11.15,3.17,3.20,25.5,32.0,2024,San Antonio Spurs,Kansas,2,5,35
